TRADEDATE,BOARDID,CLOSE,VOLUME,VALUE
2016-08-19,TQBR,98.4,3699000,362525134.0
2016-08-22,TQBR,99.15,6267800,615396045.0
2016-08-23,TQBR,100.8,5524000,551637105.0
2016-08-24,TQBR,100.3,5601100,561304328.0
2016-08-25,TQBR,102.8,6852800,694116413.0
2016-08-26,TQBR,104.09,6925000,719217550.0
2016-08-29,TQBR,103.6,2797300,288270809.0
2016-08-30,TQBR,102.45,4572000,473177725.0
2016-08-31,TQBR,101.97,5594300,570645869.0
2016-09-01,TQBR,103.32,3160300,325641528.0
2016-09-02,TQBR,104.15,5564500,574996497.0
2016-09-05,TQBR,105.97,4450400,469813958.0
2016-09-06,TQBR,107.96,4818800,514528302.0
2016-09-07,TQBR,110.9,9597200,1060389021.0
2016-09-08,TQBR,109.07,10884500,1199984231.0
2016-09-09,TQBR,107.66,4088000,439942338.0
2016-09-12,TQBR,107.51,4671700,499570968.0
2016-09-13,TQBR,106.97,4243700,454150265.0
2016-09-14,TQBR,106.93,4301400,460506355.0
2016-09-15,TQBR,107.31,7421000,794262141.0
2016-09-16,TQBR,106.06,6670600,713434575.0
2016-09-19,TQBR,107.0,3802400,407556990.0
2016-09-20,TQBR,107.29,2093200,222492687.0
2016-09-21,TQBR,108.45,4735300,513902086.0
2016-09-22,TQBR,111.47,5817800,641072205.0
2016-09-23,TQBR,109.38,4485900,492400103.0
2016-09-26,TQBR,109.26,4393900,480122274.0
2016-09-27,TQBR,108.75,2891600,315001694.0
2016-09-28,TQBR,109.2,2505000,273577757.0
2016-09-29,TQBR,109.0,6210200,683268531.0
2016-09-30,TQBR,105.82,5825700,621079883.0
2016-10-03,TQBR,108.55,6365000,687403675.0
2016-10-04,TQBR,107.82,4181700,450386280.0
2016-10-05,TQBR,108.68,3544000,382562219.0
2016-10-06,TQBR,111.01,7339100,810201263.0
2016-10-07,TQBR,111.22,6745800,751515659.0
2016-10-10,TQBR,113.4,6721600,757935602.0
2016-10-11,TQBR,113.9,5638000,642833390.0
2016-10-12,TQBR,112.32,4416400,497623113.0
2016-10-13,TQBR,110.65,4972900,553435379.0
2016-10-14,TQBR,110.6,6657500,736474577.0
2016-10-17,TQBR,110.19,6965500,768543102.0
2016-10-18,TQBR,110.92,4992100,553820274.0
2016-10-19,TQBR,111.86,4437000,494335445.0
2016-10-20,TQBR,111.37,5362400,601858000.0
2016-10-21,TQBR,111.75,2998700,334839259.0
2016-10-24,TQBR,112.2,5166200,581029207.0
2016-10-25,TQBR,112.82,6776000,766039993.0
2016-10-26,TQBR,111.48,4755700,531624444.0
2016-10-27,TQBR,112.11,3694100,413884015.0
2016-10-28,TQBR,112.44,1875800,209989334.0
2016-10-31,TQBR,111.59,2487800,278506037.0
2016-11-01,TQBR,110.22,2973300,331092345.0
2016-11-02,TQBR,107.6,4705300,513913829.0
2016-11-03,TQBR,106.52,4177600,449118089.0
2016-11-07,TQBR,106.4,3512300,376028587.0
2016-11-08,TQBR,106.76,4802000,510898667.0
2016-11-09,TQBR,110.48,9130000,990599655.0
2016-11-10,TQBR,111.8,9852600,1096600164.0
2016-11-11,TQBR,113.49,8341300,938775282.0
2016-11-14,TQBR,113.21,4804200,543089611.0
2016-11-15,TQBR,111.65,4408400,493292316.0
2016-11-16,TQBR,111.65,2256700,252902397.0
2016-11-17,TQBR,110.28,4197100,464325985.0
2016-11-18,TQBR,111.25,2760800,306955643.0
2016-11-21,TQBR,111.95,3597800,402805017.0
2016-11-22,TQBR,113.81,5483400,621792938.0
2016-11-23,TQBR,114.5,3813100,435974840.0
2016-11-24,TQBR,118.24,5070300,592681645.0
2016-11-25,TQBR,118.0,5042800,596287245.0
2016-11-28,TQBR,117.03,3370800,394495099.0
2016-11-29,TQBR,115.7,4567100,533599898.0
2016-11-30,TQBR,116.08,4798700,560819767.0
2016-12-01,TQBR,115.4,4122100,477950426.0
2016-12-02,TQBR,116.62,4127100,476820318.0
2016-12-05,TQBR,118.06,5099600,599900576.0
2016-12-06,TQBR,116.5,5415900,637709158.0
2016-12-07,TQBR,118.21,4248900,501088221.0
2016-12-08,TQBR,123.75,8561800,1037817383.0
2016-12-09,TQBR,121.9,7124100,877103343.0
2016-12-12,TQBR,126.3,7278600,918020998.0
2016-12-13,TQBR,129.53,10416700,1323446609.0
2016-12-14,TQBR,128.56,5399300,692116494.0
2016-12-15,TQBR,129.09,6834300,875667195.0
2016-12-16,TQBR,128.42,5746600,740718240.0
2016-12-19,TQBR,127.8,2278300,292579346.0
2016-12-20,TQBR,128.45,1943600,249556533.0
2016-12-21,TQBR,129.63,6882100,896276439.0
2016-12-22,TQBR,127.01,5420300,692463520.0
