begin,open,close,high,low,value,volume
2024-05-16 16:00:00,321.75 ,322.69 ,322.70 ,321.75 ,"1,722,910,415 ","5,347,130 "
2024-05-16 17:00:00,322.69 ,322.07 ,322.89 ,322.07 ,"887,060,494 ","2,751,310 "
2024-05-16 18:00:00,322.10 ,322.18 ,322.18 ,321.70 ,"532,721,218 ","1,654,860 "
2024-05-16 19:00:00,322.18 ,322.46 ,322.58 ,321.58 ,"318,002,763 ","987,130 "
2024-05-16 20:00:00,322.48 ,322.39 ,322.59 ,322.38 ,"145,911,670 ","452,460 "
2024-05-16 21:00:00,322.40 ,322.64 ,322.74 ,322.23 ,"209,377,232 ","649,190 "
2024-05-16 22:00:00,322.64 ,322.60 ,322.70 ,322.44 ,"190,304,871 ","589,930 "
2024-05-16 23:00:00,322.60 ,322.91 ,322.91 ,322.58 ,"202,989,681 ","628,900 "
2024-05-17 09:00:00,322.96 ,322.96 ,322.96 ,322.96 ,"24,945,430 ","77,240 "
2024-05-17 10:00:00,322.95 ,321.77 ,322.95 ,321.70 ,"1,434,816,890 ","4,454,750 "
2024-05-17 11:00:00,321.77 ,320.89 ,321.92 ,320.02 ,"1,630,649,915 ","5,081,750 "
2024-05-17 12:00:00,320.88 ,321.41 ,321.49 ,320.69 ,"356,272,295 ","1,109,420 "
2024-05-17 13:00:00,321.41 ,321.99 ,321.99 ,321.28 ,"321,182,155 ","998,740 "
2024-05-17 14:00:00,321.98 ,322.62 ,322.65 ,321.84 ,"677,341,115 ","2,101,570 "
2024-05-17 15:00:00,322.63 ,322.63 ,322.71 ,322.20 ,"477,205,914 ","1,479,830 "
2024-05-17 16:00:00,322.64 ,322.72 ,322.84 ,322.32 ,"503,675,153 ","1,561,470 "
2024-05-17 17:00:00,322.70 ,323.30 ,323.30 ,322.46 ,"837,904,295 ","2,595,050 "
2024-05-17 18:00:00,323.30 ,322.96 ,323.50 ,322.82 ,"620,225,913 ","1,918,480 "
2024-05-17 19:00:00,323.25 ,322.29 ,323.25 ,322.29 ,"249,078,887 ","771,650 "
